                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2711,                 2.3744,                 1.7123,                0.64099,                0.48863,                 0.5798,                 0.3356,                 1.1856,                 2.4977,                 2.1329,                 0.0775,                 0.0025,                 0.0025
                      1,                 1.1127,                 1.1922,                 1.5917,                0.81204,                0.85347,                0.93647,                0.64904,                0.98141,                0.98603,                  1.789,               0.054097,              0.0050975,              0.0050975
                      2,                0.99796,                  1.013,                 1.4611,                0.92769,                0.81845,                0.89138,                0.59468,                 1.2073,                0.88386,                 2.0782,               0.030692,              0.0076924,              0.0076924
                      3,                 1.0005,                0.90888,                 1.4502,                0.83346,                0.75342,                0.87745,                0.59616,                  1.181,                 1.0766,                 1.8334,              0.0099851,              0.0099851,              0.0099851
                      4,                 1.0905,                0.89702,                 1.4743,                0.82087,                0.82918,                0.87613,                0.49556,                 1.3822,                 1.2446,                  2.141,              0.0099851,              0.0099851,              0.0099851
                      5,                0.99047,                0.78976,                 1.4205,                0.80487,                0.72055,                 0.8385,                0.57043,                  1.185,                 1.2613,                 2.0826,              0.0099802,              0.0099802,              0.0099802
                      6,                0.99128,                0.76338,                 1.4217,                 0.6826,                 0.7782,                0.81481,                0.48021,                 1.3991,                 2.0361,                 2.6234,              0.0099753,              0.0099753,              0.0099753
                      7,                0.98046,                0.75254,                 1.3901,                0.79565,                0.88103,                0.91527,                0.57444,                   1.35,                 1.4887,                 2.1346,              0.0099703,              0.0099703,              0.0099703
                      8,                 0.9846,                0.78759,                 1.4126,                0.77983,                0.85013,                0.86487,                0.49032,                 1.4687,                 1.1268,                 2.4912,              0.0099654,              0.0099654,              0.0099654
                      9,                 1.0223,                0.76769,                 1.4558,                0.72863,                0.76817,                0.78672,                0.47989,                 1.5737,                  1.435,                  2.612,              0.0099604,              0.0099604,              0.0099604
                     10,                0.97551,                0.73518,                 1.3979,                0.77523,                0.71554,                0.80024,                0.51714,                  1.321,                 1.4609,                 2.1688,              0.0099555,              0.0099555,              0.0099555
                     11,                0.95951,                0.75033,                  1.387,                0.72346,                0.63539,                0.73129,                0.39348,                   1.67,                 1.7963,                 2.7232,              0.0099505,              0.0099505,              0.0099505
                     12,                0.96278,                0.71205,                 1.4077,                0.89308,                0.75415,                0.87907,                0.53789,                 1.3284,                 1.0232,                 2.2588,              0.0099456,              0.0099456,              0.0099456
                     13,                0.95796,                0.67567,                 1.3835,                0.90403,                 0.8208,                0.91431,                0.63293,                 1.1689,                0.86367,                 1.9369,              0.0099406,              0.0099406,              0.0099406
                     14,                0.92544,                0.70514,                 1.3598,                0.77434,                0.74705,                0.84109,                0.56749,                 1.2987,                  1.434,                  2.212,              0.0099357,              0.0099357,              0.0099357
                     15,                0.92986,                0.69392,                 1.3681,                0.92924,                0.92607,                0.96345,                0.62638,                 1.0895,                0.88311,                 1.9244,              0.0099307,              0.0099307,              0.0099307
                     16,                0.91247,                0.65476,                 1.3608,                 0.8656,                0.89474,                0.88638,                  0.608,                 1.1505,                 1.1208,                 1.8482,              0.0099258,              0.0099258,              0.0099258
                     17,                0.89978,                0.66055,                 1.3586,                0.85831,                0.82468,                 0.9062,                0.62371,                 1.2446,                 1.1828,                 2.0195,              0.0099208,              0.0099208,              0.0099208
                     18,                0.91079,                 0.6714,                 1.3622,                 0.9066,                0.87093,                0.90548,                0.58743,                 1.1527,                 1.0064,                 1.8778,              0.0099159,              0.0099159,              0.0099159
                     19,                0.91694,                0.67997,                  1.344,                0.91607,                0.81687,                0.93953,                0.63182,                 1.2993,                0.89675,                  2.116,              0.0099109,              0.0099109,              0.0099109
                     20,                 0.9014,                0.64754,                 1.3222,                0.95455,                0.87498,                0.95399,                 0.6237,                 1.0624,                0.62922,                  1.834,               0.009906,               0.009906,               0.009906
                     21,                0.87716,                0.62769,                 1.3167,                0.85477,                0.78141,                0.91194,                0.57729,                 1.1396,                0.81132,                 1.9672,               0.009901,               0.009901,               0.009901
                     22,                0.85742,                0.60883,                 1.3102,                0.86368,                0.93138,                0.95404,                0.66441,                 1.0807,                0.69145,                 1.8563,              0.0098961,              0.0098961,              0.0098961
                     23,                0.86071,                0.62289,                 1.3146,                0.89064,                0.94737,                0.94764,                 0.6333,                 1.1236,                0.79831,                 1.9832,              0.0098911,              0.0098911,              0.0098911
                     24,                0.86262,                0.62283,                 1.3201,                0.90905,                0.91749,                0.95043,                0.68005,                 1.1425,                 0.7037,                 1.8813,              0.0098861,              0.0098861,              0.0098861
                     25,                0.86602,                0.61819,                 1.3001,                0.88353,                0.91598,                  0.956,                0.66006,                 1.0966,                0.84191,                 1.8544,              0.0098812,              0.0098812,              0.0098812
                     26,                0.82446,                0.59555,                  1.287,                0.86996,                0.91394,                0.92097,                0.66705,                 1.2371,                0.61875,                 2.0835,              0.0098763,              0.0098763,              0.0098763
                     27,                0.80666,                 0.5798,                 1.2578,                 0.9661,                0.87316,                0.95747,                0.65355,                 1.2545,                0.64005,                 2.2042,              0.0098713,              0.0098713,              0.0098713
                     28,                0.84668,                0.60743,                 1.2989,                0.93043,                0.92105,                0.96188,                0.67826,                  1.235,                0.73476,                 2.0418,              0.0098664,              0.0098664,              0.0098664
                     29,                0.79766,                 0.5723,                 1.2736,                0.94634,                0.89828,                 0.9359,                0.71767,                 1.0842,                0.94386,                 1.8023,              0.0098614,              0.0098614,              0.0098614
                     30,                 0.7995,                 0.5976,                 1.2646,                0.85483,                0.89664,                0.93367,                0.66866,                 1.0828,                0.62462,                 1.8718,              0.0098565,              0.0098565,              0.0098565
                     31,                0.80765,                0.59645,                 1.2836,                0.92109,                0.94433,                0.93462,                0.60165,                 1.3184,                0.77256,                 2.1115,              0.0098515,              0.0098515,              0.0098515
                     32,                0.79111,                0.55957,                  1.253,                0.91307,                0.97368,                0.95377,                0.71011,                0.93523,                0.55672,                 1.7311,              0.0098466,              0.0098466,              0.0098466
                     33,                0.81217,                0.60321,                  1.282,                 0.8221,                0.90753,                0.93479,                0.67439,                0.92971,                0.61834,                 1.6176,              0.0098416,              0.0098416,              0.0098416
                     34,                0.78408,                0.56294,                 1.2611,                 0.9207,                0.88508,                  0.951,                0.67897,                 1.0076,                 0.6752,                 1.8457,              0.0098367,              0.0098367,              0.0098367
                     35,                0.78027,                0.54632,                 1.2613,                0.92202,                0.92274,                0.97331,                0.67907,                 1.1047,                0.72528,                 1.7997,              0.0098317,              0.0098317,              0.0098317
                     36,                0.77483,                0.53499,                 1.2436,                0.85855,                0.87847,                0.92843,                0.61947,                 1.1215,                0.70404,                 1.9482,              0.0098268,              0.0098268,              0.0098268
                     37,                0.77759,                0.55862,                 1.2337,                 0.9322,                0.86754,                0.95717,                0.69799,                 1.0756,                0.68755,                 1.7238,              0.0098218,              0.0098218,              0.0098218
                     38,                0.77279,                0.52599,                 1.2338,                0.89766,                0.82244,                0.92273,                0.65526,                 1.1233,                0.91041,                  1.905,              0.0098169,              0.0098169,              0.0098169
                     39,                0.75912,                0.55189,                 1.2494,                0.86039,                0.92937,                0.93137,                0.70194,                 1.0081,                0.56475,                 1.8474,              0.0098119,              0.0098119,              0.0098119
                     40,                0.78477,                0.56487,                 1.2472,                0.91829,                0.93499,                0.93629,                0.70582,                 1.0289,                0.68321,                  1.885,               0.009807,               0.009807,               0.009807
                     41,                0.75588,                0.53791,                  1.242,                 0.8557,                0.94517,                 0.9489,                0.66143,                 1.0936,                0.91039,                    1.9,               0.009802,               0.009802,               0.009802
                     42,                0.72393,                0.52016,                 1.2081,                0.93746,                0.87024,                0.95557,                0.70734,                0.89037,                0.86006,                 1.6313,               0.009797,               0.009797,               0.009797
                     43,                0.75543,                0.56422,                 1.2308,                0.91594,                0.91674,                 0.9409,                0.70824,                0.98156,                0.73142,                 1.6957,              0.0097921,              0.0097921,              0.0097921
